No,Branch_Code,Original_Name,Name,Name2,Generation,Type1,Type2,Ability1,Ability2,Ability_Hidden,Category,Mega_Evolution_Flag,Region_Form,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,image_url
509,509_0,Purrloin,Purrloin,,5,Dark,,Limber,Unburden,Prankster,Ordinary,,,41,50,37,50,37,66,281,https://img.pokemondb.net/artwork/large/purrloin.jpg
510,510_0,Liepard,Liepard,,5,Dark,,Limber,Unburden,Prankster,Ordinary,,,64,88,50,88,50,106,446,https://img.pokemondb.net/artwork/large/liepard.jpg
511,511_0,Pansage,Pansage,,5,Grass,,Gluttony,,Overgrow,Ordinary,,,50,53,48,53,48,64,316,https://img.pokemondb.net/artwork/large/pansage.jpg
512,512_0,Simisage,Simisage,,5,Grass,,Gluttony,,Overgrow,Ordinary,,,75,98,63,98,63,101,498,https://img.pokemondb.net/artwork/large/simisage.jpg
513,513_0,Pansear,Pansear,,5,Fire,,Gluttony,,Blaze,Ordinary,,,50,53,48,53,48,64,316,https://img.pokemondb.net/artwork/large/pansear.jpg
514,514_0,Simisear,Simisear,,5,Fire,,Gluttony,,Blaze,Ordinary,,,75,98,63,98,63,101,498,https://img.pokemondb.net/artwork/large/simisear.jpg
515,515_0,Panpour,Panpour,,5,Water,,Gluttony,,Torrent,Ordinary,,,50,53,48,53,48,64,316,https://img.pokemondb.net/artwork/large/panpour.jpg
516,516_0,Simipour,Simipour,,5,Water,,Gluttony,,Torrent,Ordinary,,,75,98,63,98,63,101,498,https://img.pokemondb.net/artwork/large/simipour.jpg
517,517_0,Munna,Munna,,5,Psychic,,Forewarn,Synchronize,Telepathy,Ordinary,,,76,25,45,67,55,24,292,https://img.pokemondb.net/artwork/large/munna.jpg
518,518_0,Musharna,Musharna,,5,Psychic,,Forewarn,Synchronize,Telepathy,Ordinary,,,116,55,85,107,95,29,487,https://img.pokemondb.net/artwork/large/musharna.jpg
519,519_0,Pidove,Pidove,,5,Normal,Flying,Big Pecks,Super Luck,Rivalry,Ordinary,,,50,55,50,36,30,43,264,https://img.pokemondb.net/artwork/large/pidove.jpg
520,520_0,Tranquill,Tranquill,,5,Normal,Flying,Big Pecks,Super Luck,Rivalry,Ordinary,,,62,77,62,50,42,65,358,https://img.pokemondb.net/artwork/large/tranquill.jpg
521,521_0,Unfezant,Unfezant,,5,Normal,Flying,Big Pecks,Super Luck,Rivalry,Ordinary,,,80,115,80,65,55,93,488,https://img.pokemondb.net/artwork/large/unfezant.jpg
522,522_0,Blitzle,Blitzle,,5,Electric,,Lightning Rod,Motor Drive,Sap Sipper,Ordinary,,,45,60,32,50,32,76,295,https://img.pokemondb.net/artwork/large/blitzle.jpg
523,523_0,Zebstrika,Zebstrika,,5,Electric,,Lightning Rod,Motor Drive,Sap Sipper,Ordinary,,,75,100,63,80,63,116,497,https://img.pokemondb.net/artwork/large/zebstrika.jpg
524,524_0,Roggenrola,Roggenrola,,5,Rock,,Sturdy,Weak Armor,Sand Force,Ordinary,,,55,75,85,25,25,15,280,https://img.pokemondb.net/artwork/large/roggenrola.jpg
525,525_0,Boldore,Boldore,,5,Rock,,Sturdy,Weak Armor,Sand Force,Ordinary,,,70,105,105,50,40,20,390,https://img.pokemondb.net/artwork/large/boldore.jpg
526,526_0,Gigalith,Gigalith,,5,Rock,,Sturdy,Sand Stream,Sand Force,Ordinary,,,85,135,130,60,80,25,515,https://img.pokemondb.net/artwork/large/gigalith.jpg
527,527_0,Woobat,Woobat,,5,Psychic,Flying,Unaware,Klutz,Simple,Ordinary,,,65,45,43,55,43,72,323,https://img.pokemondb.net/artwork/large/woobat.jpg
528,528_0,Swoobat,Swoobat,,5,Psychic,Flying,Unaware,Klutz,Simple,Ordinary,,,67,57,55,77,55,114,425,https://img.pokemondb.net/artwork/large/swoobat.jpg
529,529_0,Drilbur,Drilbur,,5,Ground,,Sand Rush,Sand Force,Mold Breaker,Ordinary,,,60,85,40,30,45,68,328,https://img.pokemondb.net/artwork/large/drilbur.jpg
530,530_0,Excadrill,Excadrill,,5,Ground,Steel,Sand Rush,Sand Force,Mold Breaker,Ordinary,,,110,135,60,50,65,88,508,https://img.pokemondb.net/artwork/large/excadrill.jpg
531,531_0,Audino,Audino,,5,Normal,,Healer,Regenerator,Klutz,Ordinary,,,103,60,86,60,86,50,445,https://img.pokemondb.net/artwork/large/audino.jpg
531,531_1,Audino,Mega Audino,,5,Normal,Fairy,Healer,,,Ordinary,Mega,,103,60,126,80,126,50,545,https://img.pokemondb.net/artwork/large/mega-audino.jpg
532,532_0,Timburr,Timburr,,5,Fighting,,Guts,Sheer Force,Iron Fist,Ordinary,,,75,80,55,25,35,35,305,https://img.pokemondb.net/artwork/large/timburr.jpg
533,533_0,Gurdurr,Gurdurr,,5,Fighting,,Guts,Sheer Force,Iron Fist,Ordinary,,,85,105,85,40,50,40,405,https://img.pokemondb.net/artwork/large/gurdurr.jpg
534,534_0,Conkeldurr,Conkeldurr,,5,Fighting,,Guts,Sheer Force,Iron Fist,Ordinary,,,105,140,95,55,65,45,505,https://img.pokemondb.net/artwork/large/conkeldurr.jpg
535,535_0,Tympole,Tympole,,5,Water,,Swift Swim,Hydration,Water Absorb,Ordinary,,,50,50,40,50,40,64,294,https://img.pokemondb.net/artwork/large/tympole.jpg
536,536_0,Palpitoad,Palpitoad,,5,Water,Ground,Swift Swim,Hydration,Water Absorb,Ordinary,,,75,65,55,65,55,69,384,https://img.pokemondb.net/artwork/large/palpitoad.jpg
537,537_0,Seismitoad,Seismitoad,,5,Water,Ground,Swift Swim,Poison Touch,Water Absorb,Ordinary,,,105,95,75,85,75,74,509,https://img.pokemondb.net/artwork/large/seismitoad.jpg
538,538_0,Throh,Throh,,5,Fighting,,Guts,Inner Focus,Mold Breaker,Ordinary,,,120,100,85,30,85,45,465,https://img.pokemondb.net/artwork/large/throh.jpg
539,539_0,Sawk,Sawk,,5,Fighting,,Sturdy,Inner Focus,Mold Breaker,Ordinary,,,75,125,75,30,75,85,465,https://img.pokemondb.net/artwork/large/sawk.jpg
540,540_0,Sewaddle,Sewaddle,,5,Bug,Grass,Swarm,Chlorophyll,Overcoat,Ordinary,,,45,53,70,40,60,42,310,https://img.pokemondb.net/artwork/large/sewaddle.jpg
541,541_0,Swadloon,Swadloon,,5,Bug,Grass,Leaf Guard,Chlorophyll,Overcoat,Ordinary,,,55,63,90,50,80,42,380,https://img.pokemondb.net/artwork/large/swadloon.jpg
542,542_0,Leavanny,Leavanny,,5,Bug,Grass,Swarm,Chlorophyll,Overcoat,Ordinary,,,75,103,80,70,80,92,500,https://img.pokemondb.net/artwork/large/leavanny.jpg
543,543_0,Venipede,Venipede,,5,Bug,Poison,Poison Point,Swarm,Speed Boost,Ordinary,,,30,45,59,30,39,57,260,https://img.pokemondb.net/artwork/large/venipede.jpg
544,544_0,Whirlipede,Whirlipede,,5,Bug,Poison,Poison Point,Swarm,Speed Boost,Ordinary,,,40,55,99,40,79,47,360,https://img.pokemondb.net/artwork/large/whirlipede.jpg
545,545_0,Scolipede,Scolipede,,5,Bug,Poison,Poison Point,Swarm,Speed Boost,Ordinary,,,60,100,89,55,69,112,485,https://img.pokemondb.net/artwork/large/scolipede.jpg
546,546_0,Cottonee,Cottonee,,5,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,Ordinary,,,40,27,60,37,50,66,280,https://img.pokemondb.net/artwork/large/cottonee.jpg
547,547_0,Whimsicott,Whimsicott,,5,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,Ordinary,,,60,67,85,77,75,116,480,https://img.pokemondb.net/artwork/large/whimsicott.jpg
548,548_0,Petilil,Petilil,,5,Grass,,Chlorophyll,Own Tempo,Leaf Guard,Ordinary,,,45,35,50,70,50,30,280,https://img.pokemondb.net/artwork/large/petilil.jpg
549,549_0,Lilligant,Lilligant,,5,Grass,,Chlorophyll,Own Tempo,Leaf Guard,Ordinary,,,70,60,75,110,75,90,480,https://img.pokemondb.net/artwork/large/lilligant.jpg
549,549_1,Lilligant,Hisuian Lilligant,,8,Grass,Fighting,Chlorophyll,Hustle,Leaf Guard,Ordinary,,Hisuian,70,105,75,50,75,105,480,https://img.pokemondb.net/artwork/large/hisuian-lilligant.jpg
550,550_0,Basculin,Basculin Red Stripe,,5,Water,,Reckless,Adaptability,Mold Breaker,Ordinary,,,70,92,65,80,55,98,460,https://img.pokemondb.net/artwork/large/basculin-red-stripe.jpg
550,550_1,Basculin,Basculin Blue Stripe,,5,Water,,Rock Head,Adaptability,Mold Breaker,Ordinary,,,70,92,65,80,55,98,460,https://img.pokemondb.net/artwork/large/basculin-blue-stripe.jpg
550,550_2,Basculin,Hisuian Basculin,,8,Water,,Rattled,Adaptability,Mold Breaker,Ordinary,,Hisuian,70,92,65,80,55,98,460,https://img.pokemondb.net/artwork/large/hisuian-basculin.jpg
551,551_0,Sandile,Sandile,,5,Ground,Dark,Intimidate,Moxie,Anger Point,Ordinary,,,50,72,35,35,35,65,292,https://img.pokemondb.net/artwork/large/sandile.jpg
552,552_0,Krokorok,Krokorok,,5,Ground,Dark,Intimidate,Moxie,Anger Point,Ordinary,,,60,82,45,45,45,74,351,https://img.pokemondb.net/artwork/large/krokorok.jpg
553,553_0,Krookodile,Krookodile,,5,Ground,Dark,Intimidate,Moxie,Anger Point,Ordinary,,,95,117,80,65,70,92,519,https://img.pokemondb.net/artwork/large/krookodile.jpg
554,554_0,Darumaka,Darumaka,,5,Fire,,Hustle,,Inner Focus,Ordinary,,,70,90,45,15,45,50,315,https://img.pokemondb.net/artwork/large/darumaka.jpg
554,554_1,Darumaka,Galarian Darumaka,,8,Ice,,Hustle,,Inner Focus,Ordinary,,Galarian,70,90,45,15,45,50,315,https://img.pokemondb.net/artwork/large/galarian-darumaka.jpg
555,555_0,Darmanitan,Darmanitan,,5,Fire,,Sheer Force,,Zen Mode,Ordinary,,,105,140,55,30,55,95,480,https://img.pokemondb.net/artwork/large/darmanitan.jpg
555,555_1,Darmanitan,Darmanitan Zen-Mode,,5,Fire,Psychic,Sheer Force,,Zen Mode,Ordinary,,,105,30,105,140,105,55,540,https://img.pokemondb.net/artwork/large/darmanitan-zen-mode.jpg
555,555_2,Darmanitan,Galarian Darmanitan,,8,Ice,,Gorilla Tactics,,Zen Mode,Ordinary,,Galarian,105,140,55,30,55,95,480,https://img.pokemondb.net/artwork/large/galarian-darmanitan.jpg
555,555_3,Darmanitan,Galarian Darmanitan Zen-Mode,,8,Ice,Fire,Gorilla Tactics,,Zen Mode,Ordinary,,Galarian,105,160,55,30,55,135,540,https://img.pokemondb.net/artwork/large/galarian-darmanitan-zen-mode.jpg
556,556_0,Maractus,Maractus,,5,Grass,,Water Absorb,Chlorophyll,Storm Drain,Ordinary,,,75,86,67,106,67,60,461,https://img.pokemondb.net/artwork/large/maractus.jpg
557,557_0,Dwebble,Dwebble,,5,Bug,Rock,Sturdy,Shell Armor,Weak Armor,Ordinary,,,50,65,85,35,35,55,325,https://img.pokemondb.net/artwork/large/dwebble.jpg
558,558_0,Crustle,Crustle,,5,Bug,Rock,Sturdy,Shell Armor,Weak Armor,Ordinary,,,70,105,125,65,75,45,485,https://img.pokemondb.net/artwork/large/crustle.jpg
559,559_0,Scraggy,Scraggy,,5,Dark,Fighting,Shed Skin,Moxie,Intimidate,Ordinary,,,50,75,70,35,70,48,348,https://img.pokemondb.net/artwork/large/scraggy.jpg
560,560_0,Scrafty,Scrafty,,5,Dark,Fighting,Shed Skin,Moxie,Intimidate,Ordinary,,,65,90,115,45,115,58,488,https://img.pokemondb.net/artwork/large/scrafty.jpg
561,561_0,Sigilyph,Sigilyph,,5,Psychic,Flying,Wonder Skin,Magic Guard,Tinted Lens,Ordinary,,,72,58,80,103,80,97,490,https://img.pokemondb.net/artwork/large/sigilyph.jpg
562,562_0,Yamask,Yamask,,5,Ghost,,Mummy,,,Ordinary,,,38,30,85,55,65,30,303,https://img.pokemondb.net/artwork/large/yamask.jpg
562,562_1,Yamask,Galarian Yamask,,8,Ground,Ghost,Wandering Spirit,,,Ordinary,,Galarian,38,55,85,30,65,30,303,https://img.pokemondb.net/artwork/large/galarian-yamask.jpg
563,563_0,Cofagrigus,Cofagrigus,,5,Ghost,,Mummy,,,Ordinary,,,58,50,145,95,105,30,483,https://img.pokemondb.net/artwork/large/cofagrigus.jpg
564,564_0,Tirtouga,Tirtouga,,5,Water,Rock,Solid Rock,Sturdy,Swift Swim,Ordinary,,,54,78,103,53,45,22,355,https://img.pokemondb.net/artwork/large/tirtouga.jpg
565,565_0,Carracosta,Carracosta,,5,Water,Rock,Solid Rock,Sturdy,Swift Swim,Ordinary,,,74,108,133,83,65,32,495,https://img.pokemondb.net/artwork/large/carracosta.jpg
566,566_0,Archen,Archen,,5,Rock,Flying,Defeatist,,,Ordinary,,,55,112,45,74,45,70,401,https://img.pokemondb.net/artwork/large/archen.jpg
567,567_0,Archeops,Archeops,,5,Rock,Flying,Defeatist,,,Ordinary,,,75,140,65,112,65,110,567,https://img.pokemondb.net/artwork/large/archeops.jpg
568,568_0,Trubbish,Trubbish,,5,Poison,,Stench,Sticky Hold,Aftermath,Ordinary,,,50,50,62,40,62,65,329,https://img.pokemondb.net/artwork/large/trubbish.jpg
569,569_0,Garbodor,Garbodor,,5,Poison,,Stench,Weak Armor,Aftermath,Ordinary,,,80,95,82,60,82,75,474,https://img.pokemondb.net/artwork/large/garbodor.jpg
570,570_0,Zorua,Zorua,,5,Dark,,Illusion,,,Ordinary,,,40,65,40,80,40,65,330,https://img.pokemondb.net/artwork/large/zorua.jpg
570,570_1,Zorua,Hisuian Zorua,,8,Normal,Ghost,Illusion,,,Ordinary,,Hisuian,35,60,40,85,40,70,330,https://img.pokemondb.net/artwork/large/hisuian-zorua.jpg
571,571_0,Zoroark,Zoroark,,5,Dark,,Illusion,,,Ordinary,,,60,105,60,120,60,105,510,https://img.pokemondb.net/artwork/large/zoroark.jpg
571,571_1,Zoroark,Hisuian Zoroark,,8,Normal,Ghost,Illusion,,,Ordinary,,Hisuian,60,105,60,120,60,105,510,https://img.pokemondb.net/artwork/large/hisuian-zoroark.jpg
572,572_0,Minccino,Minccino,,5,Normal,,Cute Charm,Technician,Skill Link,Ordinary,,,55,50,40,40,40,75,300,https://img.pokemondb.net/artwork/large/minccino.jpg
573,573_0,Cinccino,Cinccino,,5,Normal,,Cute Charm,Technician,Skill Link,Ordinary,,,75,95,60,65,60,115,470,https://img.pokemondb.net/artwork/large/cinccino.jpg
574,574_0,Gothita,Gothita,,5,Psychic,,Frisk,Competitive,Shadow Tag,Ordinary,,,45,30,50,55,65,45,290,https://img.pokemondb.net/artwork/large/gothita.jpg
575,575_0,Gothorita,Gothorita,,5,Psychic,,Frisk,Competitive,Shadow Tag,Ordinary,,,60,45,70,75,85,55,390,https://img.pokemondb.net/artwork/large/gothorita.jpg
576,576_0,Gothitelle,Gothitelle,,5,Psychic,,Frisk,Competitive,Shadow Tag,Ordinary,,,70,55,95,95,110,65,490,https://img.pokemondb.net/artwork/large/gothitelle.jpg
577,577_0,Solosis,Solosis,,5,Psychic,,Overcoat,Magic Guard,Regenerator,Ordinary,,,45,30,40,105,50,20,290,https://img.pokemondb.net/artwork/large/solosis.jpg
578,578_0,Duosion,Duosion,,5,Psychic,,Overcoat,Magic Guard,Regenerator,Ordinary,,,65,40,50,125,60,30,370,https://img.pokemondb.net/artwork/large/duosion.jpg
579,579_0,Reuniclus,Reuniclus,,5,Psychic,,Overcoat,Magic Guard,Regenerator,Ordinary,,,110,65,75,125,85,30,490,https://img.pokemondb.net/artwork/large/reuniclus.jpg
580,580_0,Ducklett,Ducklett,,5,Water,Flying,Keen Eye,Big Pecks,Hydration,Ordinary,,,62,44,50,44,50,55,305,https://img.pokemondb.net/artwork/large/ducklett.jpg
581,581_0,Swanna,Swanna,,5,Water,Flying,Keen Eye,Big Pecks,Hydration,Ordinary,,,75,87,63,87,63,98,473,https://img.pokemondb.net/artwork/large/swanna.jpg
582,582_0,Vanillite,Vanillite,,5,Ice,,Ice Body,Snow Cloak,Weak Armor,Ordinary,,,36,50,50,65,60,44,305,https://img.pokemondb.net/artwork/large/vanillite.jpg
583,583_0,Vanillish,Vanillish,,5,Ice,,Ice Body,Snow Cloak,Weak Armor,Ordinary,,,51,65,65,80,75,59,395,https://img.pokemondb.net/artwork/large/vanillish.jpg
584,584_0,Vanilluxe,Vanilluxe,,5,Ice,,Ice Body,Snow Warning,Weak Armor,Ordinary,,,71,95,85,110,95,79,535,https://img.pokemondb.net/artwork/large/vanilluxe.jpg
585,585_0,Deerling,Deerling Spring Form,,5,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,Ordinary,,,60,60,50,40,50,75,335,https://img.pokemondb.net/artwork/large/deerling-spring-form.jpg
585,585_1,Deerling,Deerling Summer Form,,5,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,Ordinary,,,60,60,50,40,50,75,335,https://img.pokemondb.net/artwork/large/deerling-summer-form.jpg
585,585_2,Deerling,Deerling Autumn Form,,5,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,Ordinary,,,60,60,50,40,50,75,335,https://img.pokemondb.net/artwork/large/deerling-autumn-form.jpg
585,585_3,Deerling,Deerling Winter Form,,5,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,Ordinary,,,60,60,50,40,50,75,335,https://img.pokemondb.net/artwork/large/deerling-winter-form.jpg
586,586_0,Sawsbuck,Sawsbuck,,5,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,Ordinary,,,80,100,70,60,70,95,475,https://img.pokemondb.net/artwork/large/sawsbuck.jpg
587,587_0,Emolga,Emolga,,5,Electric,Flying,Static,,Motor Drive,Ordinary,,,55,75,60,75,60,103,428,https://img.pokemondb.net/artwork/large/emolga.jpg
588,588_0,Karrablast,Karrablast,,5,Bug,,Swarm,Shed Skin,No Guard,Ordinary,,,50,75,45,40,45,60,315,https://img.pokemondb.net/artwork/large/karrablast.jpg
589,589_0,Escavalier,Escavalier,,5,Bug,Steel,Swarm,Shell Armor,Overcoat,Ordinary,,,70,135,105,60,105,20,495,https://img.pokemondb.net/artwork/large/escavalier.jpg
590,590_0,Foongus,Foongus,,5,Grass,Poison,Effect Spore,,Regenerator,Ordinary,,,69,55,45,55,55,15,294,https://img.pokemondb.net/artwork/large/foongus.jpg
591,591_0,Amoonguss,Amoonguss,,5,Grass,Poison,Effect Spore,,Regenerator,Ordinary,,,114,85,70,85,80,30,464,https://img.pokemondb.net/artwork/large/amoonguss.jpg
592,592_0,Frillish,Frillish,,5,Water,Ghost,Water Absorb,Cursed Body,Damp,Ordinary,,,55,40,50,65,85,40,335,https://img.pokemondb.net/artwork/large/frillish.jpg
593,593_0,Jellicent,Jellicent,,5,Water,Ghost,Water Absorb,Cursed Body,Damp,Ordinary,,,100,60,70,85,105,60,480,https://img.pokemondb.net/artwork/large/jellicent.jpg
594,594_0,Alomomola,Alomomola,,5,Water,,Healer,Hydration,Regenerator,Ordinary,,,165,75,80,40,45,65,470,https://img.pokemondb.net/artwork/large/alomomola.jpg
595,595_0,Joltik,Joltik,,5,Bug,Electric,Compound Eyes,Unnerve,Swarm,Ordinary,,,50,47,50,57,50,65,319,https://img.pokemondb.net/artwork/large/joltik.jpg
596,596_0,Galvantula,Galvantula,,5,Bug,Electric,Compound Eyes,Unnerve,Swarm,Ordinary,,,70,77,60,97,60,108,472,https://img.pokemondb.net/artwork/large/galvantula.jpg
597,597_0,Ferroseed,Ferroseed,,5,Grass,Steel,Iron Barbs,,,Ordinary,,,44,50,91,24,86,10,305,https://img.pokemondb.net/artwork/large/ferroseed.jpg
598,598_0,Ferrothorn,Ferrothorn,,5,Grass,Steel,Iron Barbs,,Anticipation,Ordinary,,,74,94,131,54,116,20,489,https://img.pokemondb.net/artwork/large/ferrothorn.jpg
599,599_0,Klink,Klink,,5,Steel,,Plus,Minus,Clear Body,Ordinary,,,40,55,70,45,60,30,300,https://img.pokemondb.net/artwork/large/klink.jpg
600,600_0,Klang,Klang,,5,Steel,,Plus,Minus,Clear Body,Ordinary,,,60,80,95,70,85,50,440,https://img.pokemondb.net/artwork/large/klang.jpg
601,601_0,Klinklang,Klinklang,,5,Steel,,Plus,Minus,Clear Body,Ordinary,,,60,100,115,70,85,90,520,https://img.pokemondb.net/artwork/large/klinklang.jpg
602,602_0,Tynamo,Tynamo,,5,Electric,,Levitate,,,Ordinary,,,35,55,40,45,40,60,275,https://img.pokemondb.net/artwork/large/tynamo.jpg
603,603_0,Eelektrik,Eelektrik,,5,Electric,,Levitate,,,Ordinary,,,65,85,70,75,70,40,405,https://img.pokemondb.net/artwork/large/eelektrik.jpg
604,604_0,Eelektross,Eelektross,,5,Electric,,Levitate,,,Ordinary,,,85,115,80,105,80,50,515,https://img.pokemondb.net/artwork/large/eelektross.jpg
605,605_0,Elgyem,Elgyem,,5,Psychic,,Telepathy,Synchronize,Analytic,Ordinary,,,55,55,55,85,55,30,335,https://img.pokemondb.net/artwork/large/elgyem.jpg
606,606_0,Beheeyem,Beheeyem,,5,Psychic,,Telepathy,Synchronize,Analytic,Ordinary,,,75,75,75,125,95,40,485,https://img.pokemondb.net/artwork/large/beheeyem.jpg
607,607_0,Litwick,Litwick,,5,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,Ordinary,,,50,30,55,65,55,20,275,https://img.pokemondb.net/artwork/large/litwick.jpg
608,608_0,Lampent,Lampent,,5,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,Ordinary,,,60,40,60,95,60,55,370,https://img.pokemondb.net/artwork/large/lampent.jpg
609,609_0,Chandelure,Chandelure,,5,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,Ordinary,,,60,55,90,145,90,80,520,https://img.pokemondb.net/artwork/large/chandelure.jpg
610,610_0,Axew,Axew,,5,Dragon,,Rivalry,Mold Breaker,Unnerve,Ordinary,,,46,87,60,30,40,57,320,https://img.pokemondb.net/artwork/large/axew.jpg
611,611_0,Fraxure,Fraxure,,5,Dragon,,Rivalry,Mold Breaker,Unnerve,Ordinary,,,66,117,70,40,50,67,410,https://img.pokemondb.net/artwork/large/fraxure.jpg
612,612_0,Haxorus,Haxorus,,5,Dragon,,Rivalry,Mold Breaker,Unnerve,Ordinary,,,76,147,90,60,70,97,540,https://img.pokemondb.net/artwork/large/haxorus.jpg
613,613_0,Cubchoo,Cubchoo,,5,Ice,,Snow Cloak,Slush Rush,Rattled,Ordinary,,,55,70,40,60,40,40,305,https://img.pokemondb.net/artwork/large/cubchoo.jpg
614,614_0,Beartic,Beartic,,5,Ice,,Snow Cloak,Slush Rush,Swift Swim,Ordinary,,,95,130,80,70,80,50,505,https://img.pokemondb.net/artwork/large/beartic.jpg
615,615_0,Cryogonal,Cryogonal,,5,Ice,,Levitate,,,Ordinary,,,80,50,50,95,135,105,515,https://img.pokemondb.net/artwork/large/cryogonal.jpg
616,616_0,Shelmet,Shelmet,,5,Bug,,Hydration,Shell Armor,Overcoat,Ordinary,,,50,40,85,40,65,25,305,https://img.pokemondb.net/artwork/large/shelmet.jpg
617,617_0,Accelgor,Accelgor,,5,Bug,,Hydration,Sticky Hold,Unburden,Ordinary,,,80,70,40,100,60,145,495,https://img.pokemondb.net/artwork/large/accelgor.jpg
618,618_0,Stunfisk,Stunfisk,,5,Ground,Electric,Static,Limber,Sand Veil,Ordinary,,,109,66,84,81,99,32,471,https://img.pokemondb.net/artwork/large/stunfisk.jpg
618,618_1,Stunfisk,Galarian Stunfisk,,8,Ground,Steel,Mimicry,,,Ordinary,,Galarian,109,81,99,66,84,32,471,https://img.pokemondb.net/artwork/large/galarian-stunfisk.jpg
619,619_0,Mienfoo,Mienfoo,,5,Fighting,,Inner Focus,Regenerator,Reckless,Ordinary,,,45,85,50,55,50,65,350,https://img.pokemondb.net/artwork/large/mienfoo.jpg
620,620_0,Mienshao,Mienshao,,5,Fighting,,Inner Focus,Regenerator,Reckless,Ordinary,,,65,125,60,95,60,105,510,https://img.pokemondb.net/artwork/large/mienshao.jpg
621,621_0,Druddigon,Druddigon,,5,Dragon,,Rough Skin,Sheer Force,Mold Breaker,Ordinary,,,77,120,90,60,90,48,485,https://img.pokemondb.net/artwork/large/druddigon.jpg
622,622_0,Golett,Golett,,5,Ground,Ghost,Iron Fist,Klutz,No Guard,Ordinary,,,59,74,50,35,50,35,303,https://img.pokemondb.net/artwork/large/golett.jpg
623,623_0,Golurk,Golurk,,5,Ground,Ghost,Iron Fist,Klutz,No Guard,Ordinary,,,89,124,80,55,80,55,483,https://img.pokemondb.net/artwork/large/golurk.jpg
624,624_0,Pawniard,Pawniard,,5,Dark,Steel,Defiant,Inner Focus,Pressure,Ordinary,,,45,85,70,40,40,60,340,https://img.pokemondb.net/artwork/large/pawniard.jpg
625,625_0,Bisharp,Bisharp,,5,Dark,Steel,Defiant,Inner Focus,Pressure,Ordinary,,,65,125,100,60,70,70,490,https://img.pokemondb.net/artwork/large/bisharp.jpg
626,626_0,Bouffalant,Bouffalant,,5,Normal,,Reckless,Sap Sipper,Soundproof,Ordinary,,,95,110,95,40,95,55,490,https://img.pokemondb.net/artwork/large/bouffalant.jpg
627,627_0,Rufflet,Rufflet,,5,Normal,Flying,Keen Eye,Sheer Force,Hustle,Ordinary,,,70,83,50,37,50,60,350,https://img.pokemondb.net/artwork/large/rufflet.jpg
628,628_0,Braviary,Braviary,,5,Normal,Flying,Keen Eye,Sheer Force,Defiant,Ordinary,,,100,123,75,57,75,80,510,https://img.pokemondb.net/artwork/large/braviary.jpg
628,628_1,Braviary,Hisuian Braviary,,8,Psychic,Flying,Keen Eye,Sheer Force,Tinted Lens,Ordinary,,Hisuian,110,83,70,112,70,65,510,https://img.pokemondb.net/artwork/large/hisuian-braviary.jpg
629,629_0,Vullaby,Vullaby,,5,Dark,Flying,Big Pecks,Overcoat,Weak Armor,Ordinary,,,70,55,75,45,65,60,370,https://img.pokemondb.net/artwork/large/vullaby.jpg
630,630_0,Mandibuzz,Mandibuzz,,5,Dark,Flying,Big Pecks,Overcoat,Weak Armor,Ordinary,,,110,65,105,55,95,80,510,https://img.pokemondb.net/artwork/large/mandibuzz.jpg
631,631_0,Heatmor,Heatmor,,5,Fire,,Gluttony,Flash Fire,White Smoke,Ordinary,,,85,97,66,105,66,65,484,https://img.pokemondb.net/artwork/large/heatmor.jpg
632,632_0,Durant,Durant,,5,Bug,Steel,Swarm,Hustle,Truant,Ordinary,,,58,109,112,48,48,109,484,https://img.pokemondb.net/artwork/large/durant.jpg
633,633_0,Deino,Deino,,5,Dark,Dragon,Hustle,,,Ordinary,,,52,65,50,45,50,38,300,https://img.pokemondb.net/artwork/large/deino.jpg
634,634_0,Zweilous,Zweilous,,5,Dark,Dragon,Hustle,,,Ordinary,,,72,85,70,65,70,58,420,https://img.pokemondb.net/artwork/large/zweilous.jpg
635,635_0,Hydreigon,Hydreigon,,5,Dark,Dragon,Levitate,,,Ordinary,,,92,105,90,125,90,98,600,https://img.pokemondb.net/artwork/large/hydreigon.jpg
636,636_0,Larvesta,Larvesta,,5,Bug,Fire,Flame Body,,Swarm,Ordinary,,,55,85,55,50,55,60,360,https://img.pokemondb.net/artwork/large/larvesta.jpg
637,637_0,Volcarona,Volcarona,,5,Bug,Fire,Flame Body,,Swarm,Ordinary,,,85,60,65,135,105,100,550,https://img.pokemondb.net/artwork/large/volcarona.jpg
638,638_0,Cobalion,Cobalion,,5,Steel,Fighting,Justified,,,Legendary,,,91,90,129,90,72,108,580,https://img.pokemondb.net/artwork/large/cobalion.jpg
639,639_0,Terrakion,Terrakion,,5,Rock,Fighting,Justified,,,Legendary,,,91,129,90,72,90,108,580,https://img.pokemondb.net/artwork/large/terrakion.jpg
